tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.25;2;85577931;100;0.01;0;0;100;0.01;0;three_types;0;1;0.523599;100;0;0;0;100;0;0.523599;2;0.02;0.7;50000;-2.01005;1241;0.00884273;-0.0493239;1.15251;-0.00579641;0.114328;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_205920_890574629
0.75;2;243779183;100;0.01;0;0;100;0.01;0;three_types;0;1;0.523599;100;0;0;0;100;0;0.523599;2;0.02;0.7;50000;-2.00258;1134;-0.0112275;0.0549088;1.09134;0.0306075;0.128246;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_211714_229398248
0.25;2;161657123;100;0.01;0;0;100;0.01;0;three_types;0;1;0.523599;100;0;0;0;100;0;0.523599;2;0.02;40;50000;-1.97092;4724;0.00304217;-0.090521;1.4317;-0.0979149;0.457148;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_213549_147307667
0.75;2;330921330;100;0.01;0;0;100;0.01;0;three_types;0;1;0.523599;100;0;0;0;100;0;0.523599;2;0.02;40;50000;-2.00375;4737;-0.00343052;-0.0833223;1.52729;-0.0742809;0.531958;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_215926_316482112
0.25;2;568537520;100;0.01;0;0;100;0.01;0;three_types;0;1;0.628319;100;0;0;0;100;0;0.628319;2;0.02;0.7;50000;1.17286;3011;0.00967374;-0.140264;1.13237;-0.162435;0.110847;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_221442_554432215
0.75;2;904368549;100;0.01;0;0;100;0.01;0;three_types;0;1;0.628319;100;0;0;0;100;0;0.628319;2;0.02;0.7;50000;1.17326;3057;-0.000169052;-0.180557;1.11578;-0.180804;0.110679;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_223058_889620823
0.25;2;713142500;100;0.01;0;0;100;0.01;0;three_types;0;1;0.628319;100;0;0;0;100;0;0.628319;2;0.02;40;50000;1.18179;4892;0.00875507;-0.0172485;1.62605;-0.00767028;0.566884;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_224809_698696159
0.75;2;157686161;100;0.01;0;0;100;0.01;0;three_types;0;1;0.628319;100;0;0;0;100;0;0.628319;2;0.02;40;50000;1.17329;4893;-0.00112623;0.000496378;1.61603;-0.00283358;0.592571;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_231353_142031326
0.25;2;336455615;100;0.01;0;0;100;0.01;0;three_types;0;1;0.733038;100;0;0;0;100;0;0.733038;2;0.02;0.7;50000;0.619184;1383;0.0180803;0.158235;1.10315;0.140294;0.117739;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_232952_321949078
0.75;2;742908911;100;0.01;0;0;100;0.01;0;three_types;0;1;0.733038;100;0;0;0;100;0;0.733038;2;0.02;0.7;50000;0.627394;1457;0.00273335;0.166588;1.1459;0.143678;0.131947;0;0;0;0;0;0;0;0;./core_2/sim_evolving_m_7_11_2016_234734_728699482
0.25;2;311205038;100;0.01;0;0;100;0.01;0;three_types;0;1;0.733038;100;0;0;0;100;0;0.733038;2;0.02;40;50000;0.633556;4762;0.0125382;0.107833;1.51375;0.107768;0.535305;0;0;0;0;0;0;0;0;./core_3/sim_evolving_m_7_11_2016_205920_245663986
